Service,Event Names,Description
accessanalyzer,ApplyArchiveRule,
accessanalyzer,CancelPolicyGeneration,<p>Cancels the requested policy generation.</p>
accessanalyzer,CreateAccessPreview,<p>Creates an access preview that allows you to preview IAM Access Analyzer findings for your resource before deploying resource permissions.</p>
accessanalyzer,CreateAnalyzer,<p>Creates an analyzer for your account.</p>
accessanalyzer,CreateArchiveRule,
accessanalyzer,DeleteAnalyzer,
accessanalyzer,DeleteArchiveRule,
accessanalyzer,GetAccessPreview,<p>Retrieves information about an access preview for the specified analyzer.</p>
accessanalyzer,GetAnalyzedResource,<p>Retrieves information about a resource that was analyzed.</p>
accessanalyzer,GetAnalyzer,<p>Retrieves information about the specified analyzer.</p>
accessanalyzer,GetArchiveRule,"<p>Retrieves information about an archive rule.</p> <p>To learn about filter keys that you can use to create an archive rule, see <a href=https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-reference-filter-keys.html"">IAM Access Analyzer filter keys</a> in the <b>IAM User Guide</b>.</p>"""
accessanalyzer,GetFinding,<p>Retrieves information about the specified finding.</p>
accessanalyzer,GetGeneratedPolicy,<p>Retrieves the policy that was generated using <code>StartPolicyGeneration</code>. </p>
accessanalyzer,ListAccessPreviewFindings,<p>Retrieves a list of access preview findings generated by the specified access preview.</p>
accessanalyzer,ListAccessPreviews,<p>Retrieves a list of access previews for the specified analyzer.</p>
accessanalyzer,ListAnalyzedResources,<p>Retrieves a list of resources of the specified type that have been analyzed by the specified analyzer..</p>
accessanalyzer,ListAnalyzers,<p>Retrieves a list of analyzers.</p>
accessanalyzer,ListArchiveRules,<p>Retrieves a list of archive rules created for the specified analyzer.</p>
accessanalyzer,ListFindings,"<p>Retrieves a list of findings generated by the specified analyzer.</p> <p>To learn about filter keys that you can use to retrieve a list of findings, see <a href=https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-reference-filter-keys.html"">IAM Access Analyzer filter keys</a> in the <b>IAM User Guide</b>.</p>"""
accessanalyzer,ListPolicyGenerations,<p>Lists all of the policy generations requested in the last seven days.</p>
accessanalyzer,ListTagsForResource,<p>Retrieves a list of tags applied to the specified resource.</p>
accessanalyzer,StartPolicyGeneration,<p>Starts the policy generation request.</p>
accessanalyzer,StartResourceScan,
accessanalyzer,TagResource,<p>Adds a tag to the specified resource.</p>
accessanalyzer,UntagResource,<p>Removes a tag from the specified resource.</p>
accessanalyzer,UpdateArchiveRule,
accessanalyzer,UpdateFindings,
account,DeleteAlternateContact,
account,GetAlternateContact,"<p>Retrieves the specified alternate contact attached to an Amazon Web Services account.</p> <p>For complete details about how to use the alternate contact operations, see <a href=https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html"">Access or updating the alternate contacts</a>.</p>"""
acm,AddTagsToCertificate,
acm,DeleteCertificate,
acm,DescribeCertificate,<p>Returns detailed metadata about the specified ACM certificate.</p>
acm,ExportCertificate,"<p>Exports a private certificate issued by a private certificate authority (CA) for use anywhere. The exported file contains the certificate, the certificate chain, and the encrypted private 2048-bit RSA key associated with the public key that is embedded in the certificate. For security, you must assign a passphrase for the private key when exporting it. </p> <p>For information about exporting and formatting a certificate using the ACM console or CLI, see <a href=https://docs.aws.amazon.com/acm/latest/userguide/gs-acm-export-private.html"">Export a Private Certificate</a>.</p>"""
acm,GetAccountConfiguration,<p>Returns the account configuration options associated with an Amazon Web Services account.</p>
acm,GetCertificate,"<p>Retrieves an Amazon-issued certificate and its certificate chain. The chain consists of the certificate of the issuing CA and the intermediate certificates of any other subordinate CAs. All of the certificates are base64 encoded. You can use <a href=https://wiki.openssl.org/index.php/Command_Line_Utilities"">OpenSSL</a> to decode the certificates and inspect individual fields.</p>"""
acm,ImportCertificate,"<p>Imports a certificate into Amazon Web Services Certificate Manager (ACM) to use with services that are integrated with ACM. Note that <a href=https://docs.aws.amazon.com/acm/latest/userguide/acm-services.html"">integrated services</a> allow only certificate types and keys they support to be associated with their resources. Further  their support differs depending on whether the certificate is imported into IAM or into ACM. For more information  see the documentation for each service. For more information about importing certificates into ACM  see <a href=""https://docs.aws.amazon.com/acm/latest/userguide/import-certificate.html"">Importing Certificates</a> in the <i>Amazon Web Services Certificate Manager User Guide</i>. </p> <note> <p>ACM does not provide <a href=""https://docs.aws.amazon.com/acm/latest/userguide/acm-renewal.html"">managed renewal</a> for certificates that you import.</p> </note> <p>Note the following guidelines when importing third party certificates:</p> <ul> <li> <p>You must enter the private key that matches the certificate you are importing.</p> </li> <li> <p>The private key must be unencrypted. You cannot import a private key that is protected by a password or a passphrase.</p> </li> <li> <p>The private key must be no larger than 5 KB (5 120 bytes).</p> </li> <li> <p>If the certificate you are importing is not self-signed  you must enter its certificate chain.</p> </li> <li> <p>If a certificate chain is included  the issuer must be the subject of one of the certificates in the chain.</p> </li> <li> <p>The certificate  private key  and certificate chain must be PEM-encoded.</p> </li> <li> <p>The current time must be between the <code>Not Before</code> and <code>Not After</code> certificate fields.</p> </li> <li> <p>The <code>Issuer</code> field must not be empty.</p> </li> <li> <p>The OCSP authority URL  if present  must not exceed 1000 characters.</p> </li> <li> <p>To import a new certificate  omit the <code>CertificateArn</code> argument. Include this argument only when you want to replace a previously imported certificate.</p> </li> <li> <p>When you import a certificate by using the CLI  you must specify the certificate  the certificate chain  and the private key by their file names preceded by <code>fileb://</code>. For example  you can specify a certificate saved in the <code>C:	emp</code> folder as <code>fileb://C:\temp\certificate_to_import.pem</code>. If you are making an HTTP or HTTPS Query request  include these arguments as BLOBs. </p> </li> <li> <p>When you import a certificate by using an SDK  you must specify the certificate  the certificate chain  and the private key files in the manner required by the programming language you're using. </p> </li> <li> <p>The cryptographic algorithm of an imported certificate must match the algorithm of the signing CA. For example  if the signing CA key type is RSA  then the certificate key type must also be RSA.</p> </li> </ul> <p>This operation returns the <a href=""https://docs.aws.amazon.com/general/latest/gr/aws-arns-and-namespaces.html"">Amazon Resource Name (ARN)</a> of the imported certificate.</p>"""
acm,ListCertificates,"<p>Retrieves a list of certificate ARNs and domain names. You can request that only certificates that match a specific status be listed. You can also filter by specific attributes of the certificate. Default filtering returns only <code>RSA_2048</code> certificates. For more information, see <a>Filters</a>.</p>"
